arxiv_id,titre,auteurs,annee,categories,url,pdf,doi,resume,score,axes,ia,requetes
2605.13496v1,MARLIN: Multi-Agent Game-Theoretic Reinforcement Learning for Sustainable LLM Inference in Cloud Datacenters,H. Moore; S. Qi; D. Milojicic; C. Bash; S. Pasricha,2026,"cs.DC, cs.LG, cs.DC",https://arxiv.org/abs/2605.13496,,,"Large Language Models (LLMs) have become increasingly prevalent in cloud-based platforms, propelled by the introduction of AI-based consumer and enterprise services. LLM inference requests in particular account for up to 90% of total LLM lifecycle energy use, dwarfing training energy costs. The rising volume of LLM inference requests is increasing environmental footprints, particularly carbon emissions and water consumption. To improve sustainability for LLM inference serving in cloud datacenter environments, we propose a novel multi-agent game-theoretic reinforcement learning framework called MARLIN to co-optimize time-to-first token (TTFT), carbon emissions, water usage, and energy costs associated with LLM inference. MARLIN demonstrates a reduction of at least 18% in TTFT, 33% in carbon",7,"acv, carbone, eau, energie, methodo",True,"all:""carbon emissions"" AND (all:training OR a | all:""inference energy"" OR all:""training energ"
2603.07810v1,Temperature-Aware Scheduling of LLM Inference in Large-Scale Geo-Distributed Edge Data Centers with Distributed Optimization,Arash Khalatbarisoltani; Amin Mahmoudi; Jie Han; Muhammad Saeed; Wenxue Liu; Jinwen Li; Solmaz Kahourzade; Amirmehdi Yazdani,2026,"eess.SY, eess.SY",https://arxiv.org/abs/2603.07810,,,"The environmental impact of Large Language Models (LLMs) on data centers hosting these models is becoming a significant concern. While many efforts have focused on reducing the substantial training overhead of LLMs, carbon and water consumption during the inference phase can often surpass the costs associated with their training. The cooling systems of data centers are crucial in this context, but they are frequently modeled with a location-independent efficiency term. However, their energy efficiency is highly influenced by ambient temperature, which can vary significantly across different geographical locations. Leveraging this temperature diversity can help reduce total cooling energy costs and improve the performance of edge data centers. To address these critical sustainability issues",7,"acv, carbone, eau, energie, methodo",True,"all:""carbon emissions"" AND (all:training OR a | all:""energy consumption"" AND (all:LLM OR all: | all:""energy efficiency"" AND all:""large langua"
2608.18503v1,LLM-Powered Predictive Decision-Making for Sustainable Data Center Operations,Hanzhao Wang; Jingxuan Wu; Yumeng Li; Yu Pan; Guanting Chen,2026,"cs.LG, cs.LG",https://arxiv.org/abs/2608.18503,,,"The growing demand for AI-driven workloads, particularly from Large Language Models (LLMs), has raised concerns about the significant energy and resource consumption in data centers. This work introduces a novel LLM-based predictive scheduling system designed to enhance operational efficiency while reducing the environmental impact of data centers. Our system utilizes an LLM to predict key metrics such as execution time and energy consumption from source code, and it has the potential to extend to other sustainability-focused metrics like water usage for cooling and carbon emissions, provided the data center can track such data. The predictive model is followed by a real-time scheduling algorithm that allocates GPU resources, aiming to improve sustainability by optimizing both energy consu",7,"acv, carbone, eau, energie, methodo",True,"all:""carbon emissions"" AND (all:training OR a | all:""energy consumption"" AND (all:LLM OR all: | all:""environmental impact"" AND (all:""artifici"
2608.11830v1,Quantifying the Relationship Between Clinical Safety and Environmental Impact in Therapeutic LLMs,Alireza A. Safaei; Laura M. Vowels; Matthew J. Vowels; Apoorv Jha; Shekoufeh Rahimi,2026,"cs.CY, cs.CL, cs.CY",https://arxiv.org/abs/2608.11830,,,"The deployment of large language models (LLMs) in mental health contexts raises questions about the relationship between clinical safety and environmental cost. In this paper, we examine this relationship by combining K-Bench clinical safety scores with EcoLogits life-cycle assessment estimates across 47 supported model configurations. We evaluate model performance and environmental impact across four dimensions: energy use, carbon emissions, water consumption, and abiotic depletion. The results indicate a non-linear trade-off at the upper end of the safety distribution: a 2.61 percentage-point increase in clinical safety score corresponded to an approximately 60-fold increase in estimated energy use per million output tokens. Row-level analyses further suggest that additional test-time co",7,"acv, carbone, eau, energie, methodo",True,"all:""carbon emissions"" AND (all:training OR a | all:""life cycle assessment"" AND (all:computin"
2607.05408v1,Life Cycle Assessment of Pre-training the Lucie 7B Open-Source Large Language Model on the Jean Zay Supercomputer,Marc Léobet; Pierre-François Lavallée; Jean-Pierre Lorré,2026,"cs.CY, cs.LG, cs.CY",https://arxiv.org/abs/2607.05408,,,"The environmental impact of training large language models (LLMs) is increasingly scrutinised, yet most published estimates focus on operational energy and disclose little about manufacturing (embodied) emissions, water consumption, or the underlying highperformance computing (HPC) infrastructure. We present a life cycle assessment (LCA) of the pre-training of Lucie 7B, an open-source multilingual Foundation Model developed by the OpenLLM-France consortium and trained on the NVIDIA H100 partition of the Jean Zay supercomputer operated by IDRIS (CNRS). The assessment is framed by the AFNOR SPEC 2314 ""Frugal AI"" reference and applies the Labos 1point5 methodology for greenhouse gas(GHG) accounting in computing. The study scope extends from data preparation to model validation, and integrates",7,"acv, carbone, eau, energie, methodo",True,"all:""green AI"" OR all:""sustainable AI"" OR all | all:""life cycle assessment"" AND (all:computin"
2606.19957v1,"Modest, artistic, and radical solutions to the environmental impact of image-generating machine learning",Laura U. Marks; Jess MacCormack; Kehui Li,2026,"cs.CY, cs.CY",https://arxiv.org/abs/2606.19957,,,"Machine learning is often touted to improve the efficiency of ICT, but that small gain is overwhelmed by the enormous carbon, water, and land footprints of data centers and ML-ready devices. We survey the electricity consumption of ML applications in training and inference, focusing on electricity-intensive image generation. Our team of a computer engineer, a media scholar, and an artist explore solutions including inexact computing; tiny language models; low-precision hardware architectures; hardware with limited capacity; and anticipating and mitigating energy demands at the design phase. We will sketch our work in progress of an ethical and aesthetically sophisticated tiny image generator using non-scraped data. Looking to the economic context, we will propose a true-cost accounting for",7,"acv, carbone, eau, energie, methodo",True,"all:""environmental impact"" AND (all:""artifici"
2609.03716v1,Artificial Intelligence for Energy Optimization in Data Centers,Mohammed Basharath Ullah; Summaiya Unnisa Begum; Mohammed Nadeem Ullah,2026,"cs.AI, cs.LG, cs.AI",https://arxiv.org/abs/2609.03716,,,"Data centers are increasingly optimized by artificial intelligence and, at the same time, increasingly loaded by it. The literature treats these as two unrelated problems: control studies model workload as an exogenous arrival process, while sustainability studies model infrastructure as a fixed multiplier. We screen roughly 194 papers retrieved through a documented protocol, code 63 of them, and report what the coding shows. Of 28 primary control-oriented studies, 18 are validated in simulation alone and 5 reach physical hardware or a production facility; none account for water withdrawal, and none account for embodied carbon. Reported savings intervals across four technique families overlap almost completely, which means the field cannot presently rank its own methods. Ten recurring gaps",7,"acv, carbone, eau, energie, methodo",True,"all:""embodied carbon"" AND (all:hardware OR al"
2601.21632v5,Position: Sustainable Open-Source AI Requires Tracking the Cumulative Footprint of Derivatives,Shaina Raza; Iuliia Zarubiieva; Ahmed Y. Radwan; Nathaniel Lesperance; Deval Pandya; Sedef Akinli Kocak; Graham W. Taylor,2026,"cs.ET, cs.ET",https://arxiv.org/abs/2601.21632,,,"Open-source AI is scaling rapidly, and model hubs now host millions of artifacts. Each foundation model can spawn large numbers of fine-tunes, adapters, quantizations, merges, and forks. We take the position that compute efficiency alone is insufficient for sustainability in open-source AI. Lower per-run costs can accelerate experimentation and deployment, increasing aggregate footprint unless impacts are measurable and comparable across derivative lineages. However, the energy use, water consumption, and emissions of these derivative lineages are rarely measured or disclosed in a consistent, comparable way, leaving aggregate ecosystem impact largely invisible. We argue that sustainable open-source AI requires a coordination infrastructure that tracks impacts across model lineages, not onl",7,"acv, carbone, eau, energie, methodo",True,"all:""sustainability"" AND all:""foundation mode"
2507.20018v2,"The Carbon Cost of Conversation, Sustainability in the Age of Language Models",Sayed Mahbub Hasan Amiri; Prasun Goswami; Md. Mainul Islam; Mohammad Shakhawat Hossen; Sayed Majhab Hasan Amiri; Naznin Akter,2025,"cs.CY, cs.AI, cs.CL, cs.CY",https://arxiv.org/abs/2507.20018,,,"Large language models (LLMs) like GPT-3 and BERT have revolutionized natural language processing (NLP), yet their environmental costs remain dangerously overlooked. This article critiques the sustainability of LLMs, quantifying their carbon footprint, water usage, and contribution to e-waste through case studies of models such as GPT-4 and energy-efficient alternatives like Mistral 7B. Training a single LLM can emit carbon dioxide equivalent to hundreds of cars driven annually, while data centre cooling exacerbates water scarcity in vulnerable regions. Systemic challenges corporate greenwashing, redundant model development, and regulatory voids perpetuate harm, disproportionately burdening marginalized communities in the Global South. However, pathways exist for sustainable NLP: technical ",7,"acv, carbone, eau, energie, methodo",True,"all:""carbon footprint"" AND (all:""language mod | all:""energy efficiency"" AND all:""large langua"
2505.09598v6,"How Hungry is AI? Benchmarking Energy, Water, and Carbon Footprint of LLM Inference",Nidhal Jegham; Marwan Abdelatti; Chan Young Koh; Lassad Elmoubarki; Abdeltawab Hendawi,2025,"cs.CY, cs.AI, cs.CY",https://arxiv.org/abs/2505.09598,,,"This paper introduces an infrastructure-aware benchmarking framework for quantifying the environmental footprint of LLM inference across 30 state-of-the-art models in commercial datacenters. The framework combines public API performance data with company-specific environmental multipliers and statistical inference of hardware configurations. We additionally utilize cross-efficiency Data Envelopment Analysis (DEA) to rank models by performance relative to environmental cost and provide a dynamically updated dashboard that visualizes model-level energy, water, and carbon metrics. Results show the most energy-intensive models exceed 29 Wh per long prompt, over 65 times the most efficient systems. Even a 0.42 Wh short query, when scaled to 700M queries/day, aggregates to annual electricity com",7,"acv, carbone, eau, energie, methodo",True,"all:""carbon emissions"" AND (all:training OR a | all:""carbon footprint"" AND (all:""language mod | all:""datacenter"" AND (all:""energy"" OR all:""ca"
